CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,LATITUDE,LONGITUDE,INSTNM,State
1,1,7000.0,0.242,6946.0,0.0069,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.3374,33.4495,-111.9965,GateWay Community College,Arizona
1,1,5065.0,0.2546,14144.0,0.0372,0.0205,0.0002,0.0,0.0,0.0,0.0,0.0,0.3726,33.3913,-111.8715,Mesa Community College,Arizona
1,3,14656.5,0.7674,25833.5,0.3253,0.3434,0.0,0.0,1.0,1.0,0.0,0.0,0.7304,32.2973,-110.9975,ITT Technical Institute-Tucson,Arizona
1,3,14656.5,0.7983,25833.5,0.3056,0.4008,0.0,0.0,1.0,1.0,0.0,0.0,0.68,33.3804,-111.9692,ITT Technical Institute-Tempe,Arizona
1,1,8910.0,0.2421,13250.0,0.0492,0.0,0.0011,0.0034,0.0,0.0,0.0,0.0,0.4772,35.2707,-114.0302,Mohave Community College,Arizona
1,3,16035.0,0.6593,18481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4818,33.6844,-112.1213,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Arizona
1,1,9833.0,0.0,14144.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8223,36.3276,-109.2947,Dine College,Arizona
1,1,15000.0,0.5571,21450.0,0.0057,0.0,0.0384,0.0041,2.0,0.0,2.0,2.0,0.3778,35.1801,-111.6577,Northern Arizona University,Arizona
1,1,9833.0,0.0,14144.0,0.0366,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.2942,34.9222,-110.1316,Northland Pioneer College,Arizona
1,2,17000.0,0.7946,25000.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,2.0,0.5982,33.5779,-112.1134,Ottawa University-Phoenix,Arizona
1,1,6750.0,0.2878,11373.0,0.0075,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.4733,33.4814,-112.0883,Phoenix College,Arizona
1,3,7917.0,0.8079,7917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5497,33.4666,-111.9084,Cortiva Institute-Scottsdale,Arizona
1,3,18532.0,0.6171,35500.0,0.063,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5242,33.4123,-111.9802,University of Phoenix-Phoenix Campus,Arizona
1,1,5698.0,0.1599,9500.0,0.0213,0.0086,0.0039,0.0,0.0,0.0,0.0,0.0,0.3268,32.2268,-110.9852,Pima Community College,Arizona
1,3,8708.0,0.6147,9498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898,32.2504,-110.9213,Pima Medical Institute-Tucson,Arizona
1,3,8708.0,0.7193,9498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6183,35.1055,-106.5947,Pima Medical Institute-Albuquerque,New Mexico
1,2,19874.5,0.6478,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4547,34.5445,-112.4765,Prescott College,Arizona
1,3,11830.5,0.6808,12708.0,0.0,0.9979,0.0,0.0,0.0,0.0,0.0,0.0,0.6453,33.4487,-111.9894,Refrigeration School Inc,Arizona
1,1,4750.0,0.2366,15000.0,0.1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559,33.4131,-111.9752,Rio Salado College,Arizona
1,3,7307.0,0.6167,7307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4667,33.4547,-112.0864,Roberto-Venn School of Luthiery,Arizona
1,3,9833.0,0.1957,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587,32.8353,-109.7277,Hair Academy of Safford,Arizona
1,1,4500.0,0.171,14144.0,0.0289,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.2196,33.5095,-111.8873,Scottsdale Community College,Arizona
